createdAt,title,category,sub-category,amount,description
2023-10-31,H-Mart,Food/Drink,Groceries,16.33,Chicken
2023-10-30,La Foret,Food/Drink,Dining Out,46.14,
2023-10-28,Telus Bill,Utilities,Internet,31.36,
2023-10-28,Popeyes,Food/Drink,Dining Out,23.80,
2023-10-28,H-Mart,Food/Drink,Groceries,17.85,"Instant noodles, pork belly"
2023-10-27,Courtside Bar,Food/Drink,Dining Out,85.67,
2023-10-26,IGA,Food/Drink,Snack,16.22,Apple Pie
2023-10-26,Shoppers,Personal Care,,15.57,Toothpaste
2023-10-26,Homesense,Household,,16.79,Shampoo
2023-10-25,Pizzeria Ludica,Food/Drink,Dining Out,25.97,
2023-11-24,Christmas Market,Activities,,31.84,
2023-10-24,H-Mart,Food/Drink,Groceries,0.00,"ketchup, tomatoes"
2023-10-23,IGA,Food/Drink,Groceries,4.99,Pineapple
2023-10-22,Sahel,Food/Drink,Dining Out,48.92,
2023-10-21,Aberdeen Food Court,Food/Drink,Dining Out,40.91,Sesame Kitchen
2023-10-21,Nesters,Food/Drink,Dining Out,18.38,Breakfast stuff
2023-10-19,Popeyes,Food/Drink,Dining Out,23.80,Popeyes
2023-10-16,H-Mart,Food/Drink,Groceries,14.59,Pork Belly
2023-10-16,H-Mart,Food/Drink,Groceries,5.99,Indomie
2023-10-15,IGA,Food/Drink,Groceries,3.99,Apple pie
2023-10-15,Dollarama,Household,,2.81,Plunger
2023-10-15,Miniso,Personal Care,Gift,11.18,my melody thing
2023-10-14,Makers,Personal Care,,21.47,Chili oil
2023-10-14,Parking,Transit,,8.10,
2023-10-14,Shoppers,Personal Care,,8.73,Bubble bath
2023-10-13,Saigon Bites,Food/Drink,Dining Out,25.05,
2023-10-12,Five Guys,Food/Drink,Dining Out,33.46,
2023-10-11,Mount Everest,Food/Drink,Dining Out,15.97,
2023-10-11,Ghai Ghai,Food/Drink,Dining Out,5.25,
2023-10-06,Body Energy Club,Hobbies,,0.00,Creatine
2023-10-09,Nesters,Food/Drink,Groceries,61.12,
2023-10-09,Body Energy Club,Food/Drink,Drink,6.19,
2023-10-09,Downlow Chicken,Food/Drink,Dining Out,42.45,
2023-10-07,Food Court,Food/Drink,Dining Out,19.64,
2023-10-07,Shoppers,Personal Care,,35.00,"Fungal cream, bath salts, bandage"
2023-10-04,Translink Top Up,Transit,,20.00,
2023-10-06,Pho Khanh Express,Food/Drink,Dining Out,20.00,
2023-10-06,Pumpkin Patch,Activities,,15.00,Richmond Country Farms
2023-10-06,Earls,Food/Drink,Dining Out,28.46,
2023-10-05,Fatburger,Food/Drink,Dining Out,30.65,
2023-10-05,Bao Down,Food/Drink,Dining Out,45.62,
2023-10-03,IGA,Food/Drink,Groceries,39.00,
2023-10-02,H-Mart,Food/Drink,Groceries,11.37,Pork belly
2023-10-01,OpenAI,Hobbies,,15.60,for test dev
2023-10-01,H-Mart,Food/Drink,Groceries,12.98,"Egg, noods"
2023-10-08,Spotify,Utilities,,6.34,
2023-10-01,BC Hydro,Utilities,,13.96,
2023-09-30,T&T,Food/Drink,Groceries,11.98,
2023-09-30,IGA,Food/Drink,Groceries,23.62,
2023-09-30,Pho Khanh Express,Food/Drink,Dining Out,47.58,
2023-09-29,Hard Drive,Hobbies,,123.58,T7 from bestbuy
2023-09-29,Ikea,Household,,87.31,
2023-09-29,Ikea Food,Food/Drink,Dining Out,33.33,
2023-09-28,Cactus Club,Food/Drink,Snack,30.30,
2023-09-28,Phnom Penh,Food/Drink,Dining Out,50.30,
2023-09-26,H-Mart,Food/Drink,Groceries,47.14,
2023-09-26,Shoppers,Personal Care,Health,28.34,Eye antibiotic
2023-09-25,Campus Vision,Personal Care,Health,176.00,Contacts
2023-09-25,Chipotle,Food/Drink,Dining Out,16.60,
2023-09-24,H-Mart,Food/Drink,Groceries,8.98,Shin
2023-09-23,Taxi,Transit,,10.50,
2023-09-23,Fortune Shots,Activities,,20.70,
2023-09-23,Fortune,Activities,,50.00,
2023-09-23,Popeyes,Food/Drink,Dining Out,28.00,
2023-09-23,Ikoi Cha,Food/Drink,Snack,13.29,
2023-09-23,Japadog,Food/Drink,Dining Out,5.29,
2023-09-23,H-Mart,Food/Drink,Groceries,8.99,Egg
2023-09-22,iPhone,Tech,,"1722",iphone and plug and screen cover
2023-09-22,Spirit Halloween,Activities,,48.00,
2023-09-22,711,Food/Drink,Snack,14.24,
2023-09-22,Pho Khanh Express,Food/Drink,Dining Out,43.36,
2023-09-22,BC Hydro,Utilities,Home,12.12,
2023-09-22,Telus Bill,Utilities,Internet,31.36,
2023-09-25,Aube,Personal Care,Haircut,50.32,Haircut
2023-09-21,Linnie Gift,Personal Care,Gift,34.79,amzn
2023-09-19,Pho Khanh Express,Food/Drink,,29.50,
2023-09-19,Readwise,Utilities,,66.59,
2023-09-19,Koodo,Utilities,,56.00,
2023-09-18,Sesame,Food/Drink,Dining Out,13.65,
2023-09-18,Snacks,Food/Drink,Snack,9.50,Candy and chips thingy
2023-09-18,H-Mart,Personal Care,Gift,13.43,Hair clip
2023-09-18,IGA,Food/Drink,Drinks,13.83,Red Bull
2023-09-18,Flowers,Personal Care,Gift,56.00,
2023-09-17,My Shanti,Food/Drink,Dining Out,36.83,
2023-09-17,Bowling,Activities,,15.00,
2023-09-16,IGA,Food/Drink,Groceries,13.39,
2023-09-15,El Furniture,Activities,Night Out,73.35,
2023-09-14,Pho Khanh Express,Food/Drink,Dining Out,0.00,
2023-09-14,Wok,Household,Cooking,33.59,From homesense
2023-09-14,Kung Fu Noodle,Food/Drink,Dining Out,29.05,
2023-09-14,IGA,Food/Drink,Groceries,44.02,
2023-09-11,Japadog,Food/Drink,Dining Out,4.40,
2023-09-13,Pillow and sheets,Household,Bedroom,123.00,
2023-09-11,H-Mart,Food/Drink,Groceries,14.68,Pork belly
2023-09-10,Mount Everest,Food/Drink,Dining Out,22.00,
2023-09-09,Fat Mao,Food/Drink,Dining Out,60.00,Lunch with Linnie and her mum
2023-09-09,Cold Medicine,Personal Care,Health,29.38,Cough stuff from Shoppers
2023-09-09,Mello,Food/Drink,Snack,11.24,
2023-09-08,The Keg,Food/Drink,Dining Out,44.34,Date night
2023-09-08,Spotify,Utilities,,6.34,
2023-09-08,Mario Kart Expansion,Hobbies,Gaming,36.95,
2023-09-08,Conditioner,Personal Care,,10.00,
2023-09-08,IGA,Food/Drink,Groceries,20.00,Lava Cake
2023-09-07,Revolving Restaurant,Food/Drink,Dining Out,50.00,"Didn't pay, but split the cost of keg with this"
2023-09-02,Japadog,Food/Drink,Dining Out,25.00,
2023-09-03,Lego Technic,Personal Care,Gift,50.00,
2023-09-03,Costco,Food/Drink,Groceries,55.00,"kimchi, "
2023-09-03,Protein Milk,Hobbies,Protein ,34.99,
2023-09-03,Dish Soap and Toilet Paper,Household,,15.00,
2023-09-04,Value Village,Personal Care,Clothing,15.74,second hand jacket
2023-09-04,Zara,Personal Care,Clothing,147.79,"baggy pants, grey sweater"
2023-09-04,Translink Top Up,Transit,,20.00,
2023-09-04,Fat Burger,Food/Drink,Dining Out,18.00,
2023-09-01,OEB,Food/Drink,Dining Out,30.00,
